contract_id,contract_template,contract_date,client_name,P2_incident_or_lower_respond_time,P1_incident_respond_time,Payment_terms,SLA_Terms,Penalty_clause_SLA_breach, contract_value ,start_date,end_date,contract_status,contract_customer,contract_business_owner
11,CT007,09/07/2026,Collier Inc,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 741,680.15 ",15/02/2021,02/12/2027,Active,Jilly Cranch,Baudoin Drescher
12,CT006,01/03/2024,"Koepp, Hilpert and Nader",provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 187,002.04 ",13/12/2023,25/08/2025,Inactive,Arliene Dachey,Winfred Dukesbury
13,CT005,17/01/2022,Anderson-Kunde,provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 351,554.45 ",02/07/2021,10/12/2027,Inactive,Meier Winterborne,Gerti Dovermann
14,CT003,07/12/2025,Lockman-Marvin,provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 462,376.17 ",01/06/2022,06/02/2025,Pending,Francene Letts,Winfred Dukesbury
15,CT008,13/10/2025,"Wilkinson, Howe and Stoltenberg",provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 495,276.19 ",04/03/2020,24/04/2026,Pending,Cross Lovemore,Roxie Moylane
16,CT008,05/02/2024,Torp Group,provide IT support within 2 hours,P1 incidents responded within 1 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.99% up time,penalty clause: £20k per SLA breach," 982,272.88 ",16/01/2020,30/11/2026,Active,Feliza Bebbington,Nadean Fairbeard
17,CT001,20/08/2023,Rippin-Trantow,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 788,355.61 ",22/10/2021,14/09/2027,Pending,Querida Kienzle,Orel Maunton
18,CT001,03/11/2025,Schroeder LLC,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 306,779.66 ",31/03/2021,30/12/2026,Inactive,Rebe Lindenfeld,Royall Badder
19,CT004,27/06/2021,"Runte, Kshlerin and Jakubowski",provide IT support within 12 hours,P1 incidents responded within 8 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 742,602.42 ",06/04/2022,17/10/2025,Inactive,Tiena Leighton,Gaspar Proud
20,CT002,17/08/2022,"Russel, Kuhic and Nikolaus",provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 445,921.30 ",03/05/2020,22/01/2027,Active,Lewes Billinge,Hestia Commin
21,CT002,08/05/2024,Gibson-Frami,provide IT support within 72 hours,P1 incidents responded within 72 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 76,216.11 ",11/10/2023,02/08/2026,Pending,Johannah Bubeer,Dougie Colebourn
22,CT004,23/10/2020,Murphy-Rath,provide IT support within 12 hours,P1 incidents responded within 12 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 269,961.05 ",28/01/2020,09/04/2026,Pending,Elena Dearlove,Reid Laval
23,CT001,27/02/2023,Harris and Sons,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 412,677.89 ",01/05/2023,11/02/2025,Pending,Virgilio Ortiga,Gerti Dovermann
24,CT001,08/03/2021,"Lubowitz, Franecki and Rath",provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £1k per SLA breach," 140,311.35 ",16/04/2024,20/05/2027,Pending,Archer McDonell,Nadean Fairbeard
25,CT003,12/01/2023,Ferry-Hahn,provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.9% up time,penalty clause: £10k per SLA breach," 869,532.55 ",10/12/2021,11/10/2027,Pending,Bail Rope,Nadean Fairbeard
26,CT001,15/11/2026,"Jacobs, Moen and Tillman",provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 281,196.84 ",04/01/2023,14/09/2026,Inactive,Ira Gallienne,Nadean Fairbeard
27,CT007,26/02/2023,Kutch and Sons,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 499,354.88 ",28/10/2023,22/02/2025,Active,Ax Cansdell,Sky Riddington
28,CT001,13/06/2026,Torphy-Kessler,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 382,583.83 ",13/08/2020,25/05/2025,Inactive,Roberto Cassedy,Roxie Moylane
29,CT002,04/06/2022,Upton LLC,provide IT support within 72 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 764,797.07 ",15/03/2021,07/06/2025,Pending,Faina Millsom,Roxie Moylane
30,CT008,16/02/2024,Lehner Group,provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 499,983.92 ",25/12/2023,10/03/2027,Inactive,Clyve Simioli,Baudoin Drescher
31,CT004,09/05/2026,Volkman Group,provide IT support within 12 hours,P1 incidents responded within 8 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 785,888.19 ",01/01/2023,20/11/2027,Active,Fidelio Bachman,Baudoin Drescher
32,CT007,25/11/2023,Hilpert-Douglas,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 538,141.10 ",28/03/2020,19/09/2027,Pending,Chevy Gadney,Winfred Dukesbury
33,CT002,15/10/2025,Schulist LLC,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 570,937.09 ",29/01/2024,02/09/2027,Inactive,Delinda Klimochkin,Gerti Dovermann
34,CT008,23/07/2022,Lebsack-Kuhn,provide IT support within 2 hours,P1 incidents responded within 1 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 736,677.69 ",11/04/2024,29/09/2025,Active,Reuben O'Doogan,Gerti Dovermann
35,CT002,17/09/2022,"Kuphal, Sawayn and Pacocha",provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 683,428.11 ",22/01/2020,01/01/2025,Active,Saleem Glendenning,Sebastien Szubert
36,CT001,06/01/2020,Heathcote-King,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 236,285.66 ",16/11/2020,04/04/2027,Inactive,Jacquie Gulberg,Alana Shelf
37,CT001,17/09/2024,Kub-Schaefer,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 655,036.11 ",27/11/2023,29/07/2027,Inactive,Goldina Burwood,Michaela Broszkiewicz
38,CT001,09/05/2026,"Hermiston, Wilderman and Runolfsdottir",provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 201,896.75 ",19/11/2020,16/07/2026,Inactive,Valdemar Grist,Royall Badder
39,CT008,29/10/2022,"Tromp, O'Keefe and Weissnat",provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 500,824.31 ",16/01/2024,07/04/2027,Inactive,Jena Leivers,Dasi Lockyear
40,CT001,27/03/2020,Rath-Johns,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £1k per SLA breach," 129,898.24 ",16/01/2023,02/02/2025,Inactive,Anissa Crockett,Gaspar Proud
41,CT002,04/12/2023,Champlin-Waters,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 698,001.48 ",23/07/2020,02/05/2025,Inactive,Roderick Biaggi,Sebastien Szubert
42,CT002,16/05/2023,Rogahn-Schmidt,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 561,506.30 ",12/08/2020,21/07/2026,Pending,Tonie Dollman,Gerti Dovermann
43,CT001,19/12/2024,"Reinger, Hegmann and Mayert",provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 433,838.91 ",18/07/2023,03/04/2026,Active,Evangelin Van Daalen,Timothee Probbin
44,CT007,17/11/2024,"Gottlieb, Marquardt and Stoltenberg",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 129,627.51 ",27/10/2020,25/02/2027,Pending,Sallie Wilcinskis,Royall Badder
45,CT005,30/01/2024,Weissnat-Murray,provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 489,860.33 ",04/02/2023,17/08/2027,Inactive,Vic Golby,Sky Riddington
46,CT005,01/05/2020,"Harber, Rosenbaum and Borer",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.99% up time,penalty clause: £5k per SLA breach," 946,092.50 ",10/12/2022,11/09/2027,Pending,Falito Biddell,Quinlan Hartzenberg
47,CT005,10/05/2025,Crist Group,provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.9% up time,penalty clause: £5k per SLA breach," 852,001.51 ",07/05/2022,27/03/2025,Inactive,Godiva Darley,Roxie Moylane
48,CT006,26/09/2021,Dietrich-Bailey,provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 470,442.65 ",06/08/2021,29/10/2025,Inactive,Jeri Polamontayne,Gerti Dovermann
49,CT003,06/08/2025,"Grady, Sipes and Hagenes",provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 454,724.28 ",24/03/2023,03/11/2025,Inactive,Johanna Kaine,Roxie Moylane
50,CT002,07/04/2022,"Dietrich, Boehm and Waters",provide IT support within 72 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.9% up time,penalty clause: £10k per SLA breach," 874,381.94 ",03/04/2021,18/03/2026,Pending,Goldina Heild,Royall Badder
51,CT005,31/10/2024,"Hauck, Doyle and Sporer",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 419,473.21 ",07/09/2024,12/06/2026,Active,Horacio Rijkeseis,Nadean Fairbeard
52,CT001,23/05/2020,Weissnat LLC,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 763,471.32 ",03/02/2024,21/11/2026,Pending,Nixie Wybrow,Michaela Broszkiewicz
53,CT001,26/11/2022,Smitham-Huel,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 786,755.36 ",03/10/2024,11/10/2025,Active,Gaile Arboine,Dasi Lockyear
54,CT007,28/08/2022,"Crooks, Daniel and Fadel",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 721,449.49 ",30/01/2022,09/10/2026,Active,Edi Lebond,Timothee Probbin
55,CT007,09/06/2020,Kreiger and Sons,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 310,890.91 ",27/04/2024,09/08/2026,Active,Engracia Sweetsur,Nadean Fairbeard
56,CT002,22/04/2024,Balistreri LLC,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 511,709.45 ",05/09/2023,08/01/2026,Active,Amata Duddle,Sky Riddington
57,CT004,07/06/2020,Greenholt-Hermiston,provide IT support within 12 hours,P1 incidents responded within 6 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 97,388.29 ",08/06/2021,12/03/2026,Active,Tedi Gibbie,Pall Duester
58,CT003,24/01/2026,Kerluke and Sons,provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 443,376.12 ",12/10/2023,05/08/2025,Active,Minta Bocking,Winfred Dukesbury
59,CT001,03/04/2025,"Fahey, Stroman and Bergstrom",provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 336,199.96 ",20/08/2022,24/06/2027,Active,Antin Starzaker,Nadean Fairbeard
60,CT005,23/03/2026,"McDermott, Schuppe and Armstrong",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 584,934.61 ",29/03/2024,26/08/2026,Pending,Shellie Trappe,Sky Riddington
61,CT001,09/09/2026,Johnson-Wiegand,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 429,409.51 ",30/01/2024,01/04/2025,Inactive,Diego Purdon,Nadean Fairbeard
62,CT006,02/07/2023,Luettgen Group,provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 303,351.09 ",11/01/2024,02/03/2025,Inactive,Berkley Beechcraft,Dougie Colebourn
63,CT003,16/11/2026,Grady-Rosenbaum,provide IT support within 24 hours,P1 incidents responded within 16 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 549,979.99 ",11/10/2022,13/08/2027,Pending,Aldon Woolaston,Orel Maunton
64,CT002,09/09/2025,Armstrong-Koelpin,provide IT support within 72 hours,P1 incidents responded within 72 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 157,887.73 ",22/07/2024,02/03/2025,Inactive,Shandeigh Niess,Royall Badder
65,CT002,28/05/2025,Weber Group,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 561,874.58 ",15/08/2022,21/08/2025,Pending,Marketa Jilliss,Winfred Dukesbury
66,CT001,22/11/2021,Kuhn Inc,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £1k per SLA breach," 75,943.32 ",08/11/2024,07/02/2025,Pending,Evelin Wilflinger,Pall Duester
67,CT005,03/08/2021,"Schulist, Stokes and Cronin",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.9% up time,penalty clause: £5k per SLA breach," 824,474.25 ",16/10/2020,24/12/2027,Inactive,Sioux Labone,Nadean Fairbeard
68,CT007,14/05/2025,"Wiza, Mraz and Parker",provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 193,460.15 ",12/10/2021,04/12/2027,Pending,Stuart Kirby,Pall Duester
69,CT001,12/02/2025,"Weber, Toy and Daniel",provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 379,486.76 ",10/02/2021,26/02/2027,Active,Shaun Hakking,Winfred Dukesbury
70,CT007,08/07/2022,VonRueden-Farrell,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 399,283.39 ",28/08/2020,02/11/2026,Active,Augustina Possel,Hestia Commin
71,CT002,04/01/2025,O'Conner-Cummerata,provide IT support within 72 hours,P1 incidents responded within 72 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 182,399.86 ",25/06/2021,24/08/2027,Inactive,Damon Binley,Winfred Dukesbury
72,CT001,17/05/2025,Rogahn LLC,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 532,528.94 ",09/12/2022,23/05/2027,Inactive,Elianore Gyngell,Baudoin Drescher
73,CT002,01/12/2025,"Volkman, Gutmann and Kemmer",provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 622,301.00 ",16/01/2023,14/10/2027,Active,Eirena Brookshaw,Pall Duester
74,CT002,19/12/2026,Ledner and Sons,provide IT support within 72 hours,P1 incidents responded within 24 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 774,931.00 ",03/10/2020,20/11/2026,Inactive,Meaghan Massie,Gaspar Proud
75,CT005,11/08/2020,"Kiehn, McDermott and Shields",provide IT support within 6 hours,P1 incidents responded within 6 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 169,452.48 ",05/06/2022,10/10/2027,Active,Andreana Swin,Sky Riddington
76,CT002,06/11/2025,Kessler and Sons,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 538,141.88 ",08/01/2021,25/10/2025,Active,Fredericka Ziemen,Orel Maunton
77,CT006,18/10/2025,Harris LLC,provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 327,447.18 ",23/01/2020,05/03/2027,Active,Berke Sitford,Sky Riddington
78,CT005,11/02/2023,Runte LLC,provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 492,406.30 ",03/07/2021,24/02/2027,Pending,Neille Hazle,Gerti Dovermann
79,CT008,09/05/2023,Kihn LLC,provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 76,010.29 ",02/09/2023,16/06/2026,Inactive,Jasmina Anscott,Sebastien Szubert
80,CT007,14/04/2020,Morissette and Sons,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 206,784.49 ",19/11/2020,21/11/2027,Active,Cathie Burnett,Quinlan Hartzenberg
81,CT002,17/10/2022,Cassin LLC,provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 487,106.60 ",23/09/2021,25/07/2026,Pending,Vidovic Stebbin,Nadean Fairbeard
82,CT003,28/02/2021,"Conn, Carter and Schiller",provide IT support within 24 hours,P1 incidents responded within 24 hour,Pay Invoice with in 30 days,Supplier must maintain a 90.0% up time,penalty clause: £1k per SLA breach," 110,916.13 ",05/06/2024,21/11/2027,Active,Lyman MacCrachen,Sky Riddington
83,CT002,05/01/2020,Nikolaus LLC,provide IT support within 72 hours,P1 incidents responded within 72 hour,Pay Invoice with in 60 days,Supplier must maintain a 90.0% up time,penalty clause: £5k per SLA breach," 83,113.75 ",20/10/2020,21/03/2027,Inactive,Clemens Brisland,Timothee Probbin
84,CT005,26/02/2020,"MacGyver, Carroll and Langosh",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 273,783.72 ",16/07/2023,29/10/2026,Active,Angelita Gruczka,Alana Shelf
85,CT007,04/11/2020,Prosacco LLC,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 720,882.74 ",28/09/2024,29/04/2027,Pending,Fanchon Tallent,Timothee Probbin
86,CT004,06/05/2023,"Gutkowski, Mayert and Harber",provide IT support within 12 hours,P1 incidents responded within 8 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 644,799.16 ",09/08/2020,14/06/2025,Inactive,Mommy Toghill,Sebastien Szubert
87,CT007,13/08/2022,Tromp and Sons,provide IT support within 3 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 225,166.03 ",25/08/2024,06/04/2026,Pending,Shayne Cater,Nadean Fairbeard
88,CT001,26/04/2025,Little LLC,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 470,710.46 ",08/02/2020,19/12/2027,Pending,Maryjane Cecely,Hestia Commin
89,CT001,16/11/2020,Schmitt and Sons,provide IT support within 48 hours,P1 incidents responded within 48 hour,Pay Invoice with in 30 days,Supplier must maintain a 95.0% up time,penalty clause: £1k per SLA breach," 367,824.25 ",20/12/2023,30/09/2025,Inactive,Giovanna Ilyunin,Michaela Broszkiewicz
90,CT005,01/10/2023,"Green, Auer and Bode",provide IT support within 6 hours,P1 incidents responded within 4 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.99% up time,penalty clause: £5k per SLA breach," 945,256.57 ",21/10/2023,05/06/2025,Inactive,Creighton Beavan,Tallie Bodd
91,CT008,06/12/2020,"Hills, Treutel and Nitzsche",provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 679,564.80 ",28/04/2020,06/02/2027,Active,Selle Vardon,Orel Maunton
92,CT002,02/05/2025,"Hand, Pfannerstill and Bernier",provide IT support within 72 hours,P1 incidents responded within 48 hour,Pay Invoice with in 60 days,Supplier must maintain a 99.0% up time,penalty clause: £1k per SLA breach," 560,655.19 ",30/06/2022,17/04/2027,Pending,Bernadine Rist,Royall Badder
93,CT006,05/08/2026,"Turner, Bosco and Lynch",provide IT support within 4 hours,P1 incidents responded within 4 hour,Pay Invoice with in 30 days,Supplier must maintain a 99.0% up time,penalty clause: £5k per SLA breach," 576,062.50 ",21/10/2023,15/05/2026,Active,Rosamund Pipworth,Timothee Probbin
94,CT001,21/06/2023,Rippin and Sons,provide IT support within 48 hours,P1 incidents responded within 24 hour,Pay Invoice with in 90 days,Supplier must maintain a 99.5% up time,penalty clause: £5k per SLA breach," 781,680.35 ",18/09/2020,29/12/2026,Active,Hamlin Eynaud,Roxie Moylane
95,CT008,29/03/2024,Miller LLC,provide IT support within 2 hours,P1 incidents responded within 2 hour,Pay Invoice with in 60 days,Supplier must maintain a 95.0% up time,penalty clause: £5k per SLA breach," 252,500.92 ",17/09/2021,12/09/2026,Inactive,Chevy Linke,Dougie Colebourn
